submission_id,zip,age,gender,cups,cups_num,home_brew,party
6dQEoO,94568,35-44 years old,Male,2,2,"Espresso, Pour over",Democrat
24xG6V,8840,18-24 years old,Male,1,1,"Other, Pod/capsule machine (e.g. Keurig/Nespresso)",No affiliation
oAVL8e,43566,45-54 years old,Female,1,1,"Pour over, French press, Cold brew, Coffee extract (e.g. Cometeer), Instant coffee, Other",Democrat
rlrMz5,11213,25-34 years old,Male,2,2,"Pour over, Coffee extract (e.g. Cometeer), Cold brew, Other",Democrat
42NV0k,21093,18-24 years old,Male,2,2,"Pour over, Espresso",Republican
MAdpZp,95824,55-64 years old,Female,3,3,"Pod/capsule machine (e.g. Keurig/Nespresso), Pour over, Espresso, Cold brew, Other",No affiliation
eBxW4E,79039,35-44 years old,Female,More than 4,5,"Coffee brewing machine (e.g. Mr. Coffee), Cold brew, French press",Independent
rlrM4v,75234,35-44 years old,Male,1,1,Pour over,NA
OABMZR,30134,55-64 years old,Female,Less than 1,0,"Coffee brewing machine (e.g. Mr. Coffee), Pour over, Pod/capsule machine (e.g. Keurig/Nespresso)",Independent
GrBAPo,98028,25-34 years old,Male,1,1,"Pour over, French press, Espresso, Instant coffee, Cold brew",Democrat
PABJxQ,75234,35-44 years old,Female,2,2,Pour over,NA
jB9AKR,94404,55-64 years old,Male,More than 4,5,"French press, Coffee brewing machine (e.g. Mr. Coffee)",Democrat
QABl98,95404,>65 years old,Female,Less than 1,0,Pour over,Democrat
xdN55y,91770,18-24 years old,NA,2,2,"Pour over, Espresso",NA
lNlk8B,34239,55-64 years old,Female,2,2,Pour over,Democrat
PABJQ5,44260,35-44 years old,Male,1,1,Pour over,Independent
dY2eOz,44240,35-44 years old,NA,2,2,Pod/capsule machine (e.g. Keurig/Nespresso),NA
LdML8G,49048,25-34 years old,Male,Less than 1,0,Coffee brewing machine (e.g. Mr. Coffee),Democrat
9dJjAp,6457,45-54 years old,Male,1,1,"Espresso, French press, Other",Independent
NAB1GW,14701,25-34 years old,Male,2,2,"Pour over, Instant coffee",Democrat
GrBAGo,78725,25-34 years old,Female,1,1,Pour over,Democrat
7d9rG9,2472,25-34 years old,Female,Less than 1,0,Pour over,Democrat
24xGWV,92675,55-64 years old,Male,1,1,"Pour over, Other",Independent
